chr17	44349165	44349302	ENSG00000030582@GRN@ENST00000053867	1	+	CDS
chr17	44349426	44349551	ENSG00000030582@GRN@ENST00000053867	1	+	CDS
chr17	44349667	44349751	ENSG00000030582@GRN@ENST00000053867	1	+	CDS
chr17	44350228	44350340	ENSG00000030582@GRN@ENST00000053867	1	+	CDS
chr17	44350442	44350577	ENSG00000030582@GRN@ENST00000053867	1	+	CDS
chr17	44350691	44350800	ENSG00000030582@GRN@ENST00000053867	1	+	CDS
chr17	44351037	44351163	ENSG00000030582@GRN@ENST00000053867	1	+	CDS
chr17	44351363	44351460	ENSG00000030582@GRN@ENST00000053867	1	+	CDS
chr17	44351550	44351795	ENSG00000030582@GRN@ENST00000053867	1	+	CDS
chr17	44352015	44352248	ENSG00000030582@GRN@ENST00000053867	1	+	CDS
chr17	44352341	44352571	ENSG00000030582@GRN@ENST00000053867	1	+	CDS
chr17	44352661	44352798	ENSG00000030582@GRN@ENST00000053867	1	+	CDS
chr19	1848202	1848358	ENSG00000079313@REXO1@ENST00000170168	1	-	CDS
chr19	1826878	1828631	ENSG00000079313@REXO1@ENST00000170168	1	-	CDS
chr19	1825839	1825943	ENSG00000079313@REXO1@ENST00000170168	1	-	CDS
chr19	1823572	1823785	ENSG00000079313@REXO1@ENST00000170168	1	-	CDS
chr19	1821519	1821682	ENSG00000079313@REXO1@ENST00000170168	1	-	CDS
chr19	1820264	1820395	ENSG00000079313@REXO1@ENST00000170168	1	-	CDS
chr19	1819934	1820057	ENSG00000079313@REXO1@ENST00000170168	1	-	CDS
chr19	1819018	1819131	ENSG00000079313@REXO1@ENST00000170168	1	-	CDS
chr19	1818706	1818843	ENSG00000079313@REXO1@ENST00000170168	1	-	CDS
chr19	1818482	1818595	ENSG00000079313@REXO1@ENST00000170168	1	-	CDS
chr19	1817707	1817780	ENSG00000079313@REXO1@ENST00000170168	1	-	CDS
chr19	1817219	1817329	ENSG00000079313@REXO1@ENST00000170168	1	-	CDS
chr19	1816698	1816813	ENSG00000079313@REXO1@ENST00000170168	1	-	CDS
chr19	1816431	1816569	ENSG00000079313@REXO1@ENST00000170168	1	-	CDS
chr19	1816225	1816345	ENSG00000079313@REXO1@ENST00000170168	1	-	CDS
chr19	1816066	1816154	ENSG00000079313@REXO1@ENST00000170168	1	-	CDS
chr7	39987599	39988258	ENSG00000065883@CDK13@ENST00000181839	1	+	CDS
chr7	39997494	39997664	ENSG00000065883@CDK13@ENST00000181839	1	+	CDS
chr7	39999361	39999500	ENSG00000065883@CDK13@ENST00000181839	1	+	CDS
chr7	40001861	40002031	ENSG00000065883@CDK13@ENST00000181839	1	+	CDS
chr7	40045836	40046025	ENSG00000065883@CDK13@ENST00000181839	1	+	CDS
chr7	40047821	40047877	ENSG00000065883@CDK13@ENST00000181839	1	+	CDS
chr7	40062826	40062927	ENSG00000065883@CDK13@ENST00000181839	1	+	CDS
chr7	40063023	40063100	ENSG00000065883@CDK13@ENST00000181839	1	+	CDS
chr7	40078005	40078121	ENSG00000065883@CDK13@ENST00000181839	1	+	CDS
